model_name,asset,horizon,timestamp,predicted_volatility,lower_ci,upper_ci
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 20:15:00,-0.03575571998953819,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 20:30:00,1.0517065525054932,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 20:45:00,1.6189014911651611,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 21:00:00,1.4186413288116455,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 21:15:00,0.8926696181297302,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 21:30:00,0.4466848373413086,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 21:45:00,0.28635942935943604,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 22:00:00,0.30230993032455444,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 22:15:00,0.4311521053314209,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 22:30:00,0.45440781116485596,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 22:45:00,0.2336277812719345,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 23:00:00,-0.11834289133548737,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 23:15:00,-0.5425785779953003,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 23:30:00,-0.838303804397583,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-24 23:45:00,-0.9507278203964233,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 00:00:00,-0.8080256581306458,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 00:15:00,-0.4250139594078064,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 00:30:00,0.07454251497983932,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 00:45:00,0.5859395861625671,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 01:00:00,1.01704740524292,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 01:15:00,1.2870783805847168,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 01:30:00,1.3679929971694946,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 01:45:00,1.2758711576461792,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 02:00:00,1.0499744415283203,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 02:15:00,0.7372943758964539,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 02:30:00,0.379599392414093,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 02:45:00,0.022356688976287842,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 03:00:00,-0.2869377136230469,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 03:15:00,-0.5021628737449646,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 03:30:00,-0.5878908634185791,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 03:45:00,-0.5246108770370483,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 04:00:00,-0.31912219524383545,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 04:15:00,-0.008584734052419662,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 04:30:00,0.34467703104019165,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 04:45:00,0.6623479723930359,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 05:00:00,0.8718653321266174,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 05:15:00,0.9270128607749939,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 05:30:00,0.822410523891449,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 05:45:00,0.5861586332321167,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 06:00:00,0.2637578248977661,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 06:15:00,-0.09299030900001526,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 06:30:00,-0.4324738383293152,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 06:45:00,-0.708342432975769,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 07:00:00,-0.8847487568855286,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 07:15:00,-0.9393909573554993,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 07:30:00,-0.8636351823806763,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 07:45:00,-0.6651808023452759,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 08:00:00,-0.37076544761657715,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 08:15:00,-0.02597806602716446,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 08:30:00,0.30862492322921753,,
CEEMDAN-LSTM,EURUSD=X,807,2026-03-25 08:45:00,0.5691570043563843,,
